Goterm,ID,Description,NES,pvalue,p.adjust,pergene,FDR
Negative regulation of phosphorylation (GO:0042326),GO:0042326,Negative regulation of phosphorylation,1.018655058,0.40372093,0.77741604,0.251131222,0.777293863
Membranous septum morphogenesis (GO:0003149),GO:0003149,Membranous septum morphogenesis,-1.039848206,0.403795812,0.77741604,0.3,0.777293863
Regulation of establishment of planar polarity involved in neural tube closure (GO:0090178),GO:0090178,Regulation of establishment of planar polarity involved in neural tube closure,-1.037260969,0.403947368,0.77741604,0.285714286,0.777293863
Cellular response to unfolded protein (GO:0034620),GO:0034620,Cellular response to unfolded protein,-1.015758876,0.404075691,0.77741604,0.291666667,0.777293863
Cyclooxygenase pathway (GO:0019371),GO:0019371,Cyclooxygenase pathway,1.043393951,0.404079383,0.77741604,0.454545455,0.777293863
Regulation of coagulation (GO:0050818),GO:0050818,Regulation of coagulation,1.025506677,0.404539601,0.77741604,0.341176471,0.777293863
"Nuclear-transcribed mrna catabolic process, nonsense-mediated decay (GO:0000184)",GO:0000184,"Nuclear-transcribed mrna catabolic process, nonsense-mediated decay",-1.020909646,0.404541632,0.77741604,0.383333333,0.777293863
Regulation of macrophage migration (GO:1905521),GO:1905521,Regulation of macrophage migration,-1.021301039,0.404733445,0.77741604,0.243902439,0.777293863
Regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079),GO:0000079,Regulation of cyclin-dependent protein serine/threonine kinase activity,1.025761372,0.404860229,0.77741604,0.364583333,0.777293863
"Blood coagulation, intrinsic pathway (GO:0007597)",GO:0007597,"Blood coagulation, intrinsic pathway",-1.027182259,0.405057575,0.77741604,0.235294118,0.777293863
Alcohol biosynthetic process (GO:0046165),GO:0046165,Alcohol biosynthetic process,1.020140234,0.405111145,0.77741604,0.24516129,0.777293863
Bone development (GO:0060348),GO:0060348,Bone development,1.022137653,0.405124451,0.77741604,0.207920792,0.777293863
Nucleoside bisphosphate biosynthetic process (GO:0033866),GO:0033866,Nucleoside bisphosphate biosynthetic process,1.027782201,0.405476308,0.77741604,0.194029851,0.777293863
Ribonucleoside bisphosphate biosynthetic process (GO:0034030),GO:0034030,Ribonucleoside bisphosphate biosynthetic process,1.027782201,0.405476308,0.77741604,0.194029851,0.777293863
Purine nucleoside bisphosphate biosynthetic process (GO:0034033),GO:0034033,Purine nucleoside bisphosphate biosynthetic process,1.027782201,0.405476308,0.77741604,0.194029851,0.777293863
Anterograde axonal transport (GO:0008089),GO:0008089,Anterograde axonal transport,1.032703586,0.405491914,0.77741604,0.375,0.777293863
Regulation of inclusion body assembly (GO:0090083),GO:0090083,Regulation of inclusion body assembly,-1.031704312,0.405507439,0.77741604,0.5625,0.777293863
Diencephalon development (GO:0021536),GO:0021536,Diencephalon development,-1.020143517,0.406362237,0.777687435,0.225352113,0.777565215
Negative regulation of neuron projection regeneration (GO:0070571),GO:0070571,Negative regulation of neuron projection regeneration,1.038160086,0.406415163,0.777687435,0.266666667,0.777565215
Regulation of actomyosin structure organization (GO:0110020),GO:0110020,Regulation of actomyosin structure organization,1.024537989,0.406435089,0.777687435,0.265957447,0.777565215
Negative regulation of wnt signaling pathway (GO:0030178),GO:0030178,Negative regulation of wnt signaling pathway,-1.011147551,0.406470211,0.777687435,0.216981132,0.777565215
Mrna stabilization (GO:0048255),GO:0048255,Mrna stabilization,1.03158015,0.406519169,0.777687435,0.22,0.777565215
Hormone secretion (GO:0046879),GO:0046879,Hormone secretion,1.018825654,0.406677843,0.777687435,0.199346405,0.777565215
Ventricular septum morphogenesis (GO:0060412),GO:0060412,Ventricular septum morphogenesis,-1.021402566,0.406775589,0.777687435,0.261904762,0.777565215
Morphogenesis of a branching structure (GO:0001763),GO:0001763,Morphogenesis of a branching structure,1.020551029,0.406787131,0.777687435,0.220512821,0.777565215
Chromosome segregation (GO:0007059),GO:0007059,Chromosome segregation,1.019506036,0.407052617,0.777687435,0.25,0.777565215
Cortical actin cytoskeleton organization (GO:0030866),GO:0030866,Cortical actin cytoskeleton organization,1.032717982,0.407101,0.777687435,0.487179487,0.777565215
Phenol-containing compound metabolic process (GO:0018958),GO:0018958,Phenol-containing compound metabolic process,1.025294486,0.407279573,0.777687435,0.305555556,0.777565215
Indolalkylamine metabolic process (GO:0006586),GO:0006586,Indolalkylamine metabolic process,1.038675855,0.40734679,0.777687435,0.3125,0.777565215
Cell chemotaxis (GO:0060326),GO:0060326,Cell chemotaxis,-1.013789912,0.407472682,0.777687435,0.268707483,0.777565215
Negative regulation of nucleocytoplasmic transport (GO:0046823),GO:0046823,Negative regulation of nucleocytoplasmic transport,1.0305861,0.407479964,0.777687435,0.238095238,0.777565215
Negative regulation of endothelial cell migration (GO:0010596),GO:0010596,Negative regulation of endothelial cell migration,1.030995932,0.407482305,0.777687435,0.176470588,0.777565215
Neurotransmitter reuptake (GO:0098810),GO:0098810,Neurotransmitter reuptake,1.025691365,0.407620042,0.777717039,0.25,0.777594814
Spermatid differentiation (GO:0048515),GO:0048515,Spermatid differentiation,1.019463183,0.408320726,0.778636373,0.183673469,0.778514004
Peripheral nervous system neuron differentiation (GO:0048934),GO:0048934,Peripheral nervous system neuron differentiation,1.039538479,0.408556739,0.778636373,0.230769231,0.778514004
Peripheral nervous system neuron development (GO:0048935),GO:0048935,Peripheral nervous system neuron development,1.039538479,0.408556739,0.778636373,0.230769231,0.778514004
Tooth mineralization (GO:0034505),GO:0034505,Tooth mineralization,1.032734729,0.408923239,0.778636373,0.291666667,0.778514004
Physiological muscle hypertrophy (GO:0003298),GO:0003298,Physiological muscle hypertrophy,1.032714779,0.409042741,0.778636373,0.148148148,0.778514004
Physiological cardiac muscle hypertrophy (GO:0003301),GO:0003301,Physiological cardiac muscle hypertrophy,1.032714779,0.409042741,0.778636373,0.148148148,0.778514004
Cell growth involved in cardiac muscle cell development (GO:0061049),GO:0061049,Cell growth involved in cardiac muscle cell development,1.032714779,0.409042741,0.778636373,0.148148148,0.778514004
Activation of janus kinase activity (GO:0042976),GO:0042976,Activation of janus kinase activity,-1.028128806,0.409080842,0.778636373,0.2,0.778514004
Positive regulation of smooth muscle cell apoptotic process (GO:0034393),GO:0034393,Positive regulation of smooth muscle cell apoptotic process,1.036931609,0.409408306,0.778881672,0.642857143,0.778759264
Regulation of cytoplasmic transport (GO:1903649),GO:1903649,Regulation of cytoplasmic transport,1.030866369,0.409490334,0.778881672,0.346153846,0.778759264
T-helper 17 type immune response (GO:0072538),GO:0072538,T-helper 17 type immune response,-1.020339578,0.409576941,0.778881672,0.3,0.778759264
Developmental maturation (GO:0021700),GO:0021700,Developmental maturation,1.015464926,0.409992963,0.779243475,0.3,0.77912101
Regulation of heart morphogenesis (GO:2000826),GO:2000826,Regulation of heart morphogenesis,1.027606847,0.410012125,0.779243475,0.289473684,0.77912101
Pteridine-containing compound biosynthetic process (GO:0042559),GO:0042559,Pteridine-containing compound biosynthetic process,1.035962674,0.410327086,0.779498928,0.428571429,0.779376423
Negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),GO:0050732,Negative regulation of peptidyl-tyrosine phosphorylation,-1.016838443,0.410521141,0.779498928,0.215686275,0.779376423
Glycolipid biosynthetic process (GO:0009247),GO:0009247,Glycolipid biosynthetic process,1.022090553,0.410678972,0.779498928,0.151515152,0.779376423
Metanephric nephron morphogenesis (GO:0072273),GO:0072273,Metanephric nephron morphogenesis,1.030364276,0.410720562,0.779498928,0.461538462,0.779376423
Labyrinthine layer morphogenesis (GO:0060713),GO:0060713,Labyrinthine layer morphogenesis,-1.02253288,0.410759061,0.779498928,0.571428571,0.779376423
Positive regulation of morphogenesis of an epithelium (GO:1905332),GO:1905332,Positive regulation of morphogenesis of an epithelium,-1.022410453,0.411037108,0.779794012,0.171428571,0.77967146
Endothelial cell morphogenesis (GO:0001886),GO:0001886,Endothelial cell morphogenesis,-1.030439608,0.411403509,0.780256491,0.214285714,0.780133867
Artery development (GO:0060840),GO:0060840,Artery development,1.0227661,0.411594668,0.780386435,0.16091954,0.78026379
Detection of other organism (GO:0098543),GO:0098543,Detection of other organism,-1.022220396,0.412126738,0.78056409,0.368421053,0.780441418
Regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143),GO:0033143,Regulation of intracellular steroid hormone receptor signaling pathway,1.022664656,0.412207495,0.78056409,0.205479452,0.780441418
Peroxisome proliferator activated receptor signaling pathway (GO:0035357),GO:0035357,Peroxisome proliferator activated receptor signaling pathway,1.026621295,0.412288513,0.78056409,0.19047619,0.780441418
Organelle localization by membrane tethering (GO:0140056),GO:0140056,Organelle localization by membrane tethering,-1.012380653,0.412296564,0.78056409,0.205882353,0.780441418
Sphingosine metabolic process (GO:0006670),GO:0006670,Sphingosine metabolic process,1.028180888,0.412466607,0.78056409,0.210526316,0.780441418
Regulation of g protein-coupled receptor signaling pathway (GO:0008277),GO:0008277,Regulation of g protein-coupled receptor signaling pathway,1.018399666,0.412543766,0.78056409,0.218309859,0.780441418
Protein depolymerization (GO:0051261),GO:0051261,Protein depolymerization,-1.012060007,0.412591343,0.78056409,0.267857143,0.780441418
Telencephalon regionalization (GO:0021978),GO:0021978,Telencephalon regionalization,-1.032076366,0.41270874,0.78056409,0.5,0.780441418
Activation of mapk activity (GO:0000187),GO:0000187,Activation of mapk activity,-1.013481523,0.412792419,0.78056409,0.287581699,0.780441418
Primitive streak formation (GO:0090009),GO:0090009,Primitive streak formation,1.03834323,0.413067553,0.780636585,0.4,0.780513901
Epithelial tube branching involved in lung morphogenesis (GO:0060441),GO:0060441,Epithelial tube branching involved in lung morphogenesis,-1.018649922,0.413123845,0.780636585,0.344827586,0.780513901
Cellular response to sterol (GO:0036315),GO:0036315,Cellular response to sterol,-1.0205463,0.413373162,0.780636585,0.304347826,0.780513901
Ribonucleoside monophosphate biosynthetic process (GO:0009156),GO:0009156,Ribonucleoside monophosphate biosynthetic process,1.020217107,0.41366782,0.780636585,0.121212121,0.780513901
Ganglioside metabolic process (GO:0001573),GO:0001573,Ganglioside metabolic process,1.029756411,0.414013872,0.780636585,0.136363636,0.780513901
Regulation of cell projection size (GO:0032536),GO:0032536,Regulation of cell projection size,-1.030738136,0.414179104,0.780636585,0.307692308,0.780513901
Detection of calcium ion (GO:0005513),GO:0005513,Detection of calcium ion,-1.030885202,0.414226849,0.780636585,0.333333333,0.780513901
Hepatocyte differentiation (GO:0070365),GO:0070365,Hepatocyte differentiation,1.032537003,0.414251868,0.780636585,0.466666667,0.780513901
Flagellated sperm motility (GO:0030317),GO:0030317,Flagellated sperm motility,1.018126421,0.414285714,0.780636585,0.175824176,0.780513901
Sperm motility (GO:0097722),GO:0097722,Sperm motility,1.018126421,0.414285714,0.780636585,0.175824176,0.780513901
Carbohydrate phosphorylation (GO:0046835),GO:0046835,Carbohydrate phosphorylation,1.028972137,0.414368523,0.780636585,0.416666667,0.780513901
Mrna cleavage involved in mrna processing (GO:0098787),GO:0098787,Mrna cleavage involved in mrna processing,-1.030573285,0.414398595,0.780636585,0.230769231,0.780513901
Ectoderm development (GO:0007398),GO:0007398,Ectoderm development,1.024770509,0.414425646,0.780636585,0.380952381,0.780513901
Positive regulation of b cell activation (GO:0050871),GO:0050871,Positive regulation of b cell activation,-1.012159638,0.414678899,0.780699567,0.215189873,0.780576873
Chromosome condensation (GO:0030261),GO:0030261,Chromosome condensation,-1.012911466,0.414704469,0.780699567,0.261904762,0.780576873
Regulation of t-helper 2 cell cytokine production (GO:2000551),GO:2000551,Regulation of t-helper 2 cell cytokine production,1.034225106,0.415104741,0.781071724,0.272727273,0.780948972
Stress-activated mapk cascade (GO:0051403),GO:0051403,Stress-activated mapk cascade,1.013681463,0.415147661,0.781071724,0.247272727,0.780948972
Innervation (GO:0060384),GO:0060384,Innervation,1.027953975,0.415682819,0.781847408,0.28,0.781724534
Non-motile cilium assembly (GO:1905515),GO:1905515,Non-motile cilium assembly,-1.016392493,0.416150607,0.782241873,0.481481481,0.782118937
Negative regulation of nucleotide metabolic process (GO:0045980),GO:0045980,Negative regulation of nucleotide metabolic process,1.027669559,0.416325805,0.782241873,0.227272727,0.782118937
Regulation of signal transduction by p53 class mediator (GO:1901796),GO:1901796,Regulation of signal transduction by p53 class mediator,1.01500422,0.416493004,0.782241873,0.202247191,0.782118937
Positive regulation of rna splicing (GO:0033120),GO:0033120,Positive regulation of rna splicing,-1.019415878,0.416745956,0.782241873,0.4,0.782118937
Negative regulation of mast cell activation (GO:0033004),GO:0033004,Negative regulation of mast cell activation,1.03492943,0.416805787,0.782241873,0.25,0.782118937
Positive regulation of receptor signaling pathway via stat (GO:1904894),GO:1904894,Positive regulation of receptor signaling pathway via stat,1.017868686,0.416853573,0.782241873,0.215909091,0.782118937
Microvillus organization (GO:0032528),GO:0032528,Microvillus organization,-1.019140676,0.41714814,0.782241873,0.36,0.782118937
Skeletal muscle adaptation (GO:0043501),GO:0043501,Skeletal muscle adaptation,-1.017025931,0.417279412,0.782241873,0.217391304,0.782118937
Regulation of keratinocyte migration (GO:0051547),GO:0051547,Regulation of keratinocyte migration,-1.024721579,0.41754386,0.782241873,0.285714286,0.782118937
Steroid hormone secretion (GO:0035929),GO:0035929,Steroid hormone secretion,1.023439867,0.417574567,0.782241873,0.3,0.782118937
Nuclear-transcribed mrna poly(a) tail shortening (GO:0000289),GO:0000289,Nuclear-transcribed mrna poly(a) tail shortening,-1.016795684,0.417574609,0.782241873,0.242424242,0.782118937
Cellular response to acid chemical (GO:0071229),GO:0071229,Cellular response to acid chemical,1.022090695,0.417643229,0.782241873,0.253333333,0.782118937
Mesenchymal cell differentiation (GO:0048762),GO:0048762,Mesenchymal cell differentiation,1.016760905,0.417682927,0.782241873,0.214953271,0.782118937
Bmp signaling pathway (GO:0030509),GO:0030509,Bmp signaling pathway,1.015378823,0.417890117,0.782241873,0.342281879,0.782118937
Positive regulation of osteoblast proliferation (GO:0033690),GO:0033690,Positive regulation of osteoblast proliferation,1.03425251,0.417918753,0.782241873,0.333333333,0.782118937
Plasma lipoprotein particle organization (GO:0071827),GO:0071827,Plasma lipoprotein particle organization,1.021487933,0.417976009,0.782241873,0.234042553,0.782118937
Positive regulation of monocyte differentiation (GO:0045657),GO:0045657,Positive regulation of monocyte differentiation,-1.031752534,0.417982456,0.782241873,0.454545455,0.782118937
Cellular response to hepatocyte growth factor stimulus (GO:0035729),GO:0035729,Cellular response to hepatocyte growth factor stimulus,1.031212834,0.418803419,0.783496331,0.5,0.783373198
Negative regulation of hemopoiesis (GO:1903707),GO:1903707,Negative regulation of hemopoiesis,-1.008403635,0.418899029,0.783496331,0.205298013,0.783373198
Negative regulation of b cell activation (GO:0050869),GO:0050869,Negative regulation of b cell activation,-1.017907465,0.419134932,0.783707191,0.375,0.783584025
Cellular response to lipoprotein particle stimulus (GO:0071402),GO:0071402,Cellular response to lipoprotein particle stimulus,1.020103334,0.419985901,0.784915071,0.344827586,0.784791715
Regulation of jun kinase activity (GO:0043506),GO:0043506,Regulation of jun kinase activity,1.017668172,0.42010599,0.784915071,0.229885057,0.784791715
Negative regulation of translation (GO:0017148),GO:0017148,Negative regulation of translation,-1.008551936,0.420150987,0.784915071,0.268656716,0.784791715
Actin cytoskeleton reorganization (GO:0031532),GO:0031532,Actin cytoskeleton reorganization,-1.011675667,0.420361248,0.785077376,0.307692308,0.784953995
Regulation of cell cycle g1/s phase transition (GO:1902806),GO:1902806,Regulation of cell cycle g1/s phase transition,-1.010026691,0.42063971,0.785366924,0.323353293,0.785243497
Regulation of collagen metabolic process (GO:0010712),GO:0010712,Regulation of collagen metabolic process,1.022265127,0.420854056,0.785536626,0.15,0.785413172
Macrophage proliferation (GO:0061517),GO:0061517,Macrophage proliferation,-1.02825742,0.421029668,0.785633953,0.3,0.785510484
Trna metabolic process (GO:0006399),GO:0006399,Trna metabolic process,-1.009200549,0.42143951,0.786062972,0.313186813,0.785939435
Negative regulation of smooth muscle contraction (GO:0045986),GO:0045986,Negative regulation of smooth muscle contraction,1.025920244,0.421724075,0.786062972,0.2,0.785939435
Negative regulation of signal transduction in absence of ligand (GO:1901099),GO:1901099,Negative regulation of signal transduction in absence of ligand,-1.016897732,0.421786389,0.786062972,0.294117647,0.785939435
Negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240),GO:2001240,Negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,-1.016897732,0.421786389,0.786062972,0.294117647,0.785939435
Establishment or maintenance of cell polarity (GO:0007163),GO:0007163,Establishment or maintenance of cell polarity,1.014580487,0.421877267,0.786062972,0.287671233,0.785939435
Tube formation (GO:0035148),GO:0035148,Tube formation,-1.008748282,0.422385862,0.786681269,0.32885906,0.786557635
B cell activation involved in immune response (GO:0002312),GO:0002312,B cell activation involved in immune response,1.020309016,0.422567087,0.786681269,0.075,0.786557635
Negative regulation of axon regeneration (GO:0048681),GO:0048681,Negative regulation of axon regeneration,1.026943689,0.422638736,0.786681269,0.285714286,0.786557635
Negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144),GO:0033144,Negative regulation of intracellular steroid hormone receptor signaling pathway,1.017157454,0.42270364,0.786681269,0.323529412,0.786557635
Positive regulation of developmental growth (GO:0048639),GO:0048639,Positive regulation of developmental growth,1.010475161,0.423157266,0.786823863,0.220238095,0.786700207
Nitric oxide metabolic process (GO:0046209),GO:0046209,Nitric oxide metabolic process,1.016711003,0.423498609,0.786823863,0.356164384,0.786700207
Eyelid development in camera-type eye (GO:0061029),GO:0061029,Eyelid development in camera-type eye,-1.023641602,0.423617208,0.786823863,0.307692308,0.786700207
Cell adhesion mediated by integrin (GO:0033627),GO:0033627,Cell adhesion mediated by integrin,1.015610426,0.423625923,0.786823863,0.342857143,0.786700207
Negative regulation of cellular response to oxidative stress (GO:1900408),GO:1900408,Negative regulation of cellular response to oxidative stress,1.01725467,0.423720223,0.786823863,0.255319149,0.786700207
Negative regulation of oxidative stress-induced cell death (GO:1903202),GO:1903202,Negative regulation of oxidative stress-induced cell death,1.01725467,0.423720223,0.786823863,0.255319149,0.786700207
Positive regulation of neutrophil chemotaxis (GO:0090023),GO:0090023,Positive regulation of neutrophil chemotaxis,1.020784625,0.423725835,0.786823863,0.346153846,0.786700207
Glycosyl compound catabolic process (GO:1901658),GO:1901658,Glycosyl compound catabolic process,1.019840133,0.423769508,0.786823863,0.125,0.786700207
Negative regulation of hormone secretion (GO:0046888),GO:0046888,Negative regulation of hormone secretion,1.017613882,0.424357912,0.786918216,0.186440678,0.786794545
Positive regulation of fatty acid beta-oxidation (GO:0032000),GO:0032000,Positive regulation of fatty acid beta-oxidation,1.028124948,0.42451089,0.786918216,0.4,0.786794545
Regulation of extracellular matrix disassembly (GO:0010715),GO:0010715,Regulation of extracellular matrix disassembly,1.026598303,0.424622659,0.786918216,0.375,0.786794545
Gdp metabolic process (GO:0046710),GO:0046710,Gdp metabolic process,-1.025853742,0.42473822,0.786918216,0.3,0.786794545
Purine nucleotide biosynthetic process (GO:0006164),GO:0006164,Purine nucleotide biosynthetic process,1.011261615,0.424756565,0.786918216,0.168421053,0.786794545
Response to interleukin-4 (GO:0070670),GO:0070670,Response to interleukin-4,-1.014355154,0.425071361,0.786918216,0.314285714,0.786794545
Leydig cell differentiation (GO:0033327),GO:0033327,Leydig cell differentiation,-1.02546278,0.42517452,0.786918216,0.4,0.786794545
Polyol metabolic process (GO:0019751),GO:0019751,Polyol metabolic process,1.011292185,0.425195642,0.786918216,0.248062016,0.786794545
Positive regulation of smooth muscle cell differentiation (GO:0051152),GO:0051152,Positive regulation of smooth muscle cell differentiation,1.028268667,0.425211319,0.786918216,0.545454545,0.786794545
Negative regulation of i-kappab kinase/nf-kappab signaling (GO:0043124),GO:0043124,Negative regulation of i-kappab kinase/nf-kappab signaling,1.017956879,0.425365522,0.786918216,0.369565217,0.786794545
Negative regulation of cardiocyte differentiation (GO:1905208),GO:1905208,Negative regulation of cardiocyte differentiation,1.015461465,0.425467498,0.786918216,0.238095238,0.786794545
Negative regulation of posttranscriptional gene silencing (GO:0060149),GO:0060149,Negative regulation of posttranscriptional gene silencing,1.017411673,0.42579032,0.786918216,0.4,0.786794545
Negative regulation of gene silencing by rna (GO:0060967),GO:0060967,Negative regulation of gene silencing by rna,1.017411673,0.42579032,0.786918216,0.4,0.786794545
Cellular response to oxygen radical (GO:0071450),GO:0071450,Cellular response to oxygen radical,1.019837841,0.425834798,0.786918216,0.192307692,0.786794545
Cellular response to superoxide (GO:0071451),GO:0071451,Cellular response to superoxide,1.019837841,0.425834798,0.786918216,0.192307692,0.786794545
Negative regulation of actin filament polymerization (GO:0030837),GO:0030837,Negative regulation of actin filament polymerization,-1.008793809,0.426023612,0.786918216,0.290322581,0.786794545
Negative regulation of cell cycle g1/s phase transition (GO:1902807),GO:1902807,Negative regulation of cell cycle g1/s phase transition,-1.007972401,0.426027397,0.786918216,0.276190476,0.786794545
Negative regulation of monooxygenase activity (GO:0032769),GO:0032769,Negative regulation of monooxygenase activity,1.027760364,0.426130099,0.786918216,0.181818182,0.786794545
Positive regulation of protein localization to cell periphery (GO:1904377),GO:1904377,Positive regulation of protein localization to cell periphery,1.012689833,0.426170073,0.786918216,0.257575758,0.786794545
Positive regulation of epithelial to mesenchymal transition (GO:0010718),GO:0010718,Positive regulation of epithelial to mesenchymal transition,1.016943919,0.426555593,0.787401578,0.282608696,0.787277831
Skeletal muscle fiber development (GO:0048741),GO:0048741,Skeletal muscle fiber development,-1.010312008,0.426756007,0.787516027,0.24137931,0.787392262
Single strand break repair (GO:0000012),GO:0000012,Single strand break repair,1.026359141,0.426865123,0.787516027,0.181818182,0.787392262
Regulation of peptide secretion (GO:0002791),GO:0002791,Regulation of peptide secretion,1.009649752,0.427541162,0.78835568,0.194986072,0.788231783
Positive regulation of circadian rhythm (GO:0042753),GO:0042753,Positive regulation of circadian rhythm,-1.021045447,0.427568042,0.78835568,0.384615385,0.788231783
Long-term synaptic potentiation (GO:0060291),GO:0060291,Long-term synaptic potentiation,1.014019817,0.42788152,0.78870513,0.235294118,0.788581178
Basement membrane assembly (GO:0070831),GO:0070831,Basement membrane assembly,1.020271805,0.428102788,0.788884461,0.2,0.788760481
Adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880),GO:0071880,Adenylate cyclase-activating adrenergic receptor signaling pathway,1.019306992,0.428772176,0.7895102,0.25,0.789386122
Sphingolipid catabolic process (GO:0030149),GO:0030149,Sphingolipid catabolic process,1.013797809,0.428869929,0.7895102,0.387096774,0.789386122
Intrinsic apoptotic signaling pathway in response to dna damage by p53 class mediator (GO:0042771),GO:0042771,Intrinsic apoptotic signaling pathway in response to dna damage by p53 class mediator,-1.01015596,0.428916828,0.7895102,0.266666667,0.789386122
Polyamine biosynthetic process (GO:0006596),GO:0006596,Polyamine biosynthetic process,1.024547138,0.428938671,0.7895102,0.307692308,0.789386122
Internal peptidyl-lysine acetylation (GO:0018393),GO:0018393,Internal peptidyl-lysine acetylation,-1.005920915,0.429123328,0.789621671,0.377358491,0.789497575
"Positive regulation of synaptic transmission, glutamatergic (GO:0051968)",GO:0051968,"Positive regulation of synaptic transmission, glutamatergic",1.013213851,0.429566429,0.790208495,0.225806452,0.790084307
Regulation of myelination (GO:0031641),GO:0031641,Regulation of myelination,-1.008836304,0.429854369,0.790498879,0.282608696,0.790374646
Regulation of intracellular transport (GO:0032386),GO:0032386,Regulation of intracellular transport,1.010089677,0.429972752,0.790498879,0.231638418,0.790374646
Response to interleukin-12 (GO:0070671),GO:0070671,Response to interleukin-12,1.015796575,0.430228648,0.790740869,0.428571429,0.790616597
Response to pain (GO:0048265),GO:0048265,Response to pain,1.014325724,0.430701754,0.790838784,0.366666667,0.790714497
Positive regulation of alcohol biosynthetic process (GO:1902932),GO:1902932,Positive regulation of alcohol biosynthetic process,-1.010487986,0.430783453,0.790838784,0.28,0.790714497
Regulation of type 2 immune response (GO:0002828),GO:0002828,Regulation of type 2 immune response,1.012403001,0.430785304,0.790838784,0.193548387,0.790714497
Cellular amine metabolic process (GO:0044106),GO:0044106,Cellular amine metabolic process,1.010670594,0.430859255,0.790838784,0.208,0.790714497
Lysine catabolic process (GO:0006554),GO:0006554,Lysine catabolic process,1.022417024,0.430903357,0.790838784,0.583333333,0.790714497
Neuron death (GO:0070997),GO:0070997,Neuron death,1.009605092,0.431450507,0.791419453,0.355491329,0.791295075
Urea cycle (GO:0000050),GO:0000050,Urea cycle,-1.019872989,0.431719023,0.791419453,0.3,0.791295075
Blastocyst formation (GO:0001825),GO:0001825,Blastocyst formation,1.017029266,0.431747673,0.791419453,0.358974359,0.791295075
Asymmetric cell division (GO:0008356),GO:0008356,Asymmetric cell division,1.015409049,0.431878896,0.791419453,0.368421053,0.791295075
Protein secretion (GO:0009306),GO:0009306,Protein secretion,1.008617749,0.431966016,0.791419453,0.192743764,0.791295075
Establishment of protein localization to extracellular region (GO:0035592),GO:0035592,Establishment of protein localization to extracellular region,1.008617749,0.431966016,0.791419453,0.192743764,0.791295075
N-acetylglucosamine metabolic process (GO:0006044),GO:0006044,N-acetylglucosamine metabolic process,-1.007418513,0.432641897,0.792236582,0.315789474,0.792112075
Positive regulation of nuclear-transcribed mrna poly(a) tail shortening (GO:0060213),GO:0060213,Positive regulation of nuclear-transcribed mrna poly(a) tail shortening,-1.014715622,0.432661028,0.792236582,0.583333333,0.792112075
Toll-like receptor 9 signaling pathway (GO:0034162),GO:0034162,Toll-like receptor 9 signaling pathway,1.017101142,0.433303965,0.793185595,0.44,0.793060939
Response to hydroperoxide (GO:0033194),GO:0033194,Response to hydroperoxide,-1.004491674,0.433454052,0.793232134,0.277777778,0.793107471
"Neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887)",GO:0098887,"Neurotransmitter receptor transport, endosome to postsynaptic membrane",-1.017468503,0.433900524,0.793486646,0.4,0.793361943
"Neurotransmitter receptor transport, endosome to plasma membrane (GO:0099639)",GO:0099639,"Neurotransmitter receptor transport, endosome to plasma membrane",-1.017468503,0.433900524,0.793486646,0.4,0.793361943
Regulation of interleukin-1 beta production (GO:0032651),GO:0032651,Regulation of interleukin-1 beta production,-1.00527449,0.434006822,0.793486646,0.230769231,0.793361943
Cellular response to sterol depletion (GO:0071501),GO:0071501,Cellular response to sterol depletion,1.015447854,0.434117004,0.793486646,0.466666667,0.793361943
Mirna metabolic process (GO:0010586),GO:0010586,Mirna metabolic process,-1.007296574,0.434216643,0.793486646,0.3,0.793361943
Negative regulation of intracellular protein transport (GO:0090317),GO:0090317,Negative regulation of intracellular protein transport,1.013100505,0.434410809,0.793568087,0.348837209,0.793443371
Regulation of lipid catabolic process (GO:0050994),GO:0050994,Regulation of lipid catabolic process,1.010863164,0.434631317,0.793568087,0.288135593,0.793443371
Regulation of nuclear cell cycle dna replication (GO:0033262),GO:0033262,Regulation of nuclear cell cycle dna replication,-1.007631179,0.434635358,0.793568087,0.235294118,0.793443371
Negative regulation of axonogenesis (GO:0050771),GO:0050771,Negative regulation of axonogenesis,1.009483328,0.435438884,0.794446701,0.271428571,0.794321847
Cellular component assembly involved in morphogenesis (GO:0010927),GO:0010927,Cellular component assembly involved in morphogenesis,1.011395238,0.435519297,0.794446701,0.203703704,0.794321847
Signal transduction involved in dna integrity checkpoint (GO:0072401),GO:0072401,Signal transduction involved in dna integrity checkpoint,1.008614331,0.43561599,0.794446701,0.309859155,0.794321847
Signal transduction involved in dna damage checkpoint (GO:0072422),GO:0072422,Signal transduction involved in dna damage checkpoint,1.008614331,0.43561599,0.794446701,0.309859155,0.794321847
Peptidyl-arginine n-methylation (GO:0035246),GO:0035246,Peptidyl-arginine n-methylation,-1.018039102,0.435745614,0.794455399,0.545454545,0.794330543
Regulation of neuron death (GO:1901214),GO:1901214,Regulation of neuron death,1.008469268,0.435983264,0.794620663,0.362459547,0.794495781
